Name,Fifa,Fifa Ability Overall,Liga,Position,Player,Apps,Minutes played,Assists,Yel,Red,Pass success percentage,Aerials Won per game,Man of the match,Rating,Tackles,Interceptions per game,Fouls,Offside won per game,Clearances per game,Dribbled past per game,Outfielder Block Per Game,OwnG,Goals,Shots per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Key passes per game,Passes per game,Pass success percentage.1,Crosses,Long balls per game,Through balls per game
Boulaye Dia,B. Dia,61,Ligue1,FW,"Boulaye Dia Reims, 22, FW ",8(10),746,-,2,0,68.4,1.1,-,6.56,0.7,0.2,0.5,-,0.5,0.3,0.1,-,3,1.1,0.9,0.7,0.1,0.8,1.6,0.4,8.6,68.4,-,0.1,-
Lebogang Phiri,L. Phiri,72,Ligue1,DMC,"Lebogang Phiri Guingamp, 24, DMC ",23(1),1932,-,3,0,88.7,0.5,-,6.56,2.5,1.2,1.1,-,0.7,0.8,0.1,-,-,0.5,0.5,0.6,-,0.6,0.8,0.6,41.6,88.7,-,2.1,-
Igor Lewczuk,I. Lewczuk,72,Ligue1,D(C),"Igor Lewczuk Bordeaux, 34, D(C) ",3(3),448,-,-,0,86.7,2.2,-,6.55,2,0.7,0.7,0.2,4.5,0.5,0.3,-,-,-,-,-,-,-,0.5,-,32.5,86.7,0.2,1.5,-
Bakaye Dibassy,B. Dibassy,73,Ligue1,D(CL),"Bakaye Dibassy Amiens, 30, D(CL) ",32(2),2941,1,5,1,77.4,1.5,-,6.55,1.1,1.3,1.1,0.4,2.7,0.3,0.6,-,1,0.3,0.5,0.4,0.1,0.5,0.6,0.2,36.1,77.4,0.3,1.4,-
Lebo Mothiba,L. Mothiba,72,Ligue1,FW,"Lebo Mothiba Strasbourg, 23, FW ",18(14),1769,2,3,0,78.5,1.2,1,6.55,0.3,-,1.5,-,0.2,0.3,-,-,9,1.1,0.4,0.8,0.3,1.1,1.5,0.5,13.3,78.5,-,0.3,-
Ismael Traoré,I. Traoré,75,Ligue1,D(CR),"Ismael Traoré Angers, 33, D(CR) ",29(1),2636,1,2,1,85.5,1,-,6.55,0.9,1.4,0.5,0.7,3.8,0.5,0.5,-,3,0.5,0.2,0.2,0.1,0.2,0.7,0.1,36.4,85.5,-,2.5,-
Jimmy Briand,J. Briand,76,Ligue1,"M(LR), FW","Jimmy Briand Bordeaux, 34, M(LR),FW ",28(7),2501,3,1,0,73.6,1.6,1,6.55,0.4,0.1,1.1,-,0.7,0.6,0.2,-,7,1.5,0.4,1.4,0.5,1.3,2.3,1,19.6,73.6,0.1,0.3,0.1
Yannis Salibur,Y. Salibur,76,Ligue1,"AM(CLR), FW","Yannis Salibur Saint-Etienne, 28, AM(CLR),FW ",9(12),883,3,1,1,79.3,0.4,-,6.54,0.4,0.4,1,-,0.1,0.3,-,-,1,1.6,1.2,1.5,0.3,1.3,1,0.9,13.1,79.3,0.6,0.3,-
Myziane Maolida,M. Maolida,71,Ligue1,"AM(L), FW","Myziane Maolida Nice, 20, AM(L),FW ",10(4),956,3,2,0,81.7,0.6,-,6.54,0.9,0.1,0.4,-,0.4,0.1,-,-,-,1.3,1.4,0.5,0.2,1.9,2.7,1.4,24.6,81.7,0.1,0.4,-
Emmanuel Imorou,E. Imorou,70,Ligue1,D(L),"Emmanuel Imorou Caen, 30, D(L) ",12(4),1122,1,2,0,75.2,1,-,6.54,1.1,1.8,0.6,0.2,2.7,0.4,0.3,-,-,0.2,0.3,0.5,-,0.6,0.6,0.2,26,75.2,0.3,0.8,-
