Name,Name.1,Rating,Fifa Ability Overall,Position,Apps,Minutes played,Assists,Yel,Red,Aerials Won per game,Man of the match,Tackles,Interceptions per game,Fouls,Offside won per game,Clearances per game,Dribbled past per game,Outfielder Block Per Game,OwnG,Goals,Shots per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Key passes per game,Passes per game,Pass success percentage,Crosses,Long balls per game,Through balls per game,pos
Craig Cathcart,"Craig Cathcart Watford, 30, D(CR) ",6.66,75,D(CR),35,3099,0,2,0,2.4,2,1.4,1.1,0.4,1.1,5.0,0.4,0.8,2,3,0.4,0.1,0.2,0.0,0.1,0.3,0.0,35.5,81.5,0.0,2.7,0.0,DEF
Stephen Ward,"Stephen Ward Burnley, 34, D(L) ",6.65,75,D(L),3,230,0,1,0,1.3,0,1.3,1.3,0.7,0.3,4.0,1.0,0.3,0,0,0.3,0.7,1.0,0.0,0.0,0.0,0.3,37.7,74.3,0.0,0.7,0.0,DEF
Martin Kelly,"Martin Kelly Crystal Palace, 29, D(CLR) ",6.63,75,D(CLR),12,1111,0,2,0,2.7,0,1.6,0.8,0.5,0.2,6.5,0.4,0.9,1,0,0.2,0.0,0.1,0.0,0.1,0.4,0.1,27.5,75.4,0.1,2.8,0.0,DEF
Christian Fuchs,"Christian Fuchs Leicester, 33, D(CL),M(L) ",6.59,75,"D(CL), M(L)",2,206,0,0,0,1.0,0,1.3,1.3,1.0,0.3,2.3,0.3,0.0,0,0,0.7,0.3,0.7,0.0,0.3,1.3,2.0,39.3,83.1,1.3,2.3,0.0,DEF
Mohamed Diamé,"Mohamed Diamé Newcastle United, 32, M(CLR) ",6.57,75,M(CLR),24,2166,0,3,0,1.2,0,2.7,1.0,1.2,0.0,1.2,1.3,0.3,0,0,0.7,0.6,0.7,0.0,1.3,1.1,0.1,25.3,77.2,0.0,1.3,0.0,MID
Leon Balogun,"Leon Balogun Brighton, 31, D(CR) ",6.5,75,D(CR),5,591,0,2,0,1.6,0,1.5,2.1,0.6,0.3,4.0,0.1,0.4,0,1,0.1,0.0,0.3,0.1,0.3,1.1,0.0,27.0,75.9,0.0,1.9,0.0,DEF
Stuart Armstrong,"Stuart Armstrong Southampton, 27, AM(CL) ",6.5,75,AM(CL),16,1433,2,2,0,0.6,0,1.0,0.4,0.7,0.0,0.4,1.2,0.0,0,3,1.1,0.7,0.7,0.1,0.9,1.4,1.0,21.1,78.6,0.1,0.7,0.0,MID
Charlie Daniels,"Charlie Daniels Bournemouth, 32, D(L),M(L) ",6.45,75,"D(L), M(L)",17,1586,0,4,0,1.4,0,1.2,1.0,0.3,0.3,2.0,0.4,0.2,0,1,0.6,0.6,0.3,0.0,0.3,0.6,0.5,40.0,78.7,0.4,1.9,0.0,DEF
Alfie Mawson,"Alfie Mawson Fulham, 25, D(C) ",6.43,75,D(C),13,1132,0,2,0,2.1,0,0.7,1.3,0.4,0.6,4.3,0.3,1.1,0,0,0.1,0.0,0.3,0.0,0.0,0.5,0.1,31.8,82.4,0.0,3.0,0.0,DEF
Rachid Ghezzal,"Rachid Ghezzal Leicester, 27, AM(CLR) ",6.43,75,AM(CLR),8,739,0,3,0,0.5,0,0.7,0.4,0.7,0.0,0.2,0.8,0.1,0,1,1.0,1.0,0.4,0.0,1.1,1.2,0.8,22.2,79.4,0.8,1.0,0.1,MID
